TIMESTEP       1 | STATE observe | EPSILON 1.0000 | ACTION 1 | R_DEC True  | REWARD  0 | Q_MAX  1.422095e-01
TIMESTEP       2 | STATE observe | EPSILON 1.0000 | ACTION 1 | R_DEC True  | REWARD  0 | Q_MAX  1.398517e-01
TIMESTEP       3 | STATE observe | EPSILON 1.0000 | ACTION 0 | R_DEC True  | REWARD  0 | Q_MAX  1.383259e-01
TIMESTEP       4 | STATE observe | EPSILON 1.0000 | ACTION 2 | R_DEC True  | REWARD  0 | Q_MAX  1.417046e-01
TIMESTEP       5 | STATE observe | EPSILON 1.0000 | ACTION 2 | R_DEC True  | REWARD  0 | Q_MAX  1.419719e-01
TIMESTEP       6 | STATE observe | EPSILON 1.0000 | ACTION 0 | R_DEC True  | REWARD  0 | Q_MAX  1.488785e-01
TIMESTEP       7 | STATE observe | EPSILON 1.0000 | ACTION 2 | R_DEC True  | REWARD  0 | Q_MAX  1.492481e-01
TIMESTEP       8 | STATE observe | EPSILON 1.0000 | ACTION 0 | R_DEC True  | REWARD  0 | Q_MAX  1.366902e-01
TIMESTEP       9 | STATE observe | EPSILON 1.0000 | ACTION 0 | R_DEC True  | REWARD  0 | Q_MAX  1.433328e-01
TIMESTEP      10 | STATE observe | EPSILON 1.0000 | ACTION 1 | R_DEC True  | REWARD  0 | Q_MAX  1.497716e-01
TIMESTEP      11 | STATE observe | EPSILON 1.0000 | ACTION 2 | R_DEC True  | REWARD  0 | Q_MAX  1.379596e-01
TIMESTEP      12 | STATE observe | EPSILON 1.0000 | ACTION 1 | R_DEC True  | REWARD  0 | Q_MAX  1.360390e-01
TIMESTEP      13 | STATE observe | EPSILON 1.0000 | ACTION 1 | R_DEC True  | REWARD  0 | Q_MAX  1.392575e-01
TIMESTEP      14 | STATE observe | EPSILON 1.0000 | ACTION 2 | R_DEC True  | REWARD  0 | Q_MAX  1.395877e-01
TIMESTEP      15 | STATE observe | EPSILON 1.0000 | ACTION 2 | R_DEC True  | REWARD  0 | Q_MAX  1.321767e-01
TIMESTEP      16 | STATE observe | EPSILON 1.0000 | ACTION 0 | R_DEC True  | REWARD  0 | Q_MAX  1.303746e-01
TIMESTEP      17 | STATE observe | EPSILON 1.0000 | ACTION 0 | R_DEC True  | REWARD  0 | Q_MAX  1.402834e-01
TIMESTEP      18 | STATE observe | EPSILON 1.0000 | ACTION 0 | R_DEC True  | REWARD  0 | Q_MAX  1.291780e-01
TIMESTEP      19 | STATE observe | EPSILON 1.0000 | ACTION 0 | R_DEC True  | REWARD  0 | Q_MAX  1.297338e-01
